name,email,phone,website,address,city,state,niche,rating,reviewCount,lastReviewDate,reviewsLink,competitorName,competitorReviewCount,lane,sourceQuery,qa_flags,qa_recommendation
Pure Medical Spa and Wellness Center,bepurelyou8@gmail.com,+1 475-316-6294,http://puremedspaandwellness.com/,"530 Middlebury Rd #105a, Middlebury, CT 06762",Middlebury,Connecticut,Medical spa,5,67,,https://search.google.com/local/reviews?placeid=ChIJy2Qd2fnr54kRmik34pZy0lE&q=*&authuser=0&hl=en&gl=US,,,reviews,"med spa, Connecticut, USA",personal_email_domain,review_before_live
Dolce Vida Medical Spa,callahanscott@msn.com,+1 203-513-8457,https://www.dolcevidamedspa.com/,"635 Danbury Rd, Ridgefield, CT 06877",Ridgefield,Connecticut,Medical spa,5,38,,https://search.google.com/local/reviews?placeid=ChIJh7esOourwokR2S9ybdTPfFk&q=*&authuser=0&hl=en&gl=US,,,reviews,"med spa, Connecticut, USA",multiple_contacts_same_business,review_before_live
Dolce Vida Medical Spa,customerservice@dvmedspa.com,+1 203-513-8457,https://www.dolcevidamedspa.com/,"635 Danbury Rd, Ridgefield, CT 06877",Ridgefield,Connecticut,Medical spa,5,38,,https://search.google.com/local/reviews?placeid=ChIJh7esOourwokR2S9ybdTPfFk&q=*&authuser=0&hl=en&gl=US,,,reviews,"med spa, Connecticut, USA",multiple_contacts_same_business,review_before_live
Dolce Vida Medical Spa,officemanager@dvmedspa.com,+1 203-513-8457,https://www.dolcevidamedspa.com/,"635 Danbury Rd, Ridgefield, CT 06877",Ridgefield,Connecticut,Medical spa,5,38,,https://search.google.com/local/reviews?placeid=ChIJh7esOourwokR2S9ybdTPfFk&q=*&authuser=0&hl=en&gl=US,,,reviews,"med spa, Connecticut, USA",multiple_contacts_same_business,review_before_live
The MedSpa Old Wethersfield,feelgood@ctfacialmedspa.com,+1 860-506-0050,https://ctfacialmedspa.com/,"249 Main St, Wethersfield, CT 06109",Wethersfield,Connecticut,Medical spa,4.9,70,,https://search.google.com/local/reviews?placeid=ChIJPxmATcNT5okRXHCrTOJ8Ji0&q=*&authuser=0&hl=en&gl=US,,,reviews,"med spa, Connecticut, USA",multiple_contacts_same_business,review_before_live
The MedSpa Old Wethersfield,frontdesk@ctfacialmedspa.com,+1 860-506-0050,https://ctfacialmedspa.com/,"249 Main St, Wethersfield, CT 06109",Wethersfield,Connecticut,Medical spa,4.9,70,,https://search.google.com/local/reviews?placeid=ChIJPxmATcNT5okRXHCrTOJ8Ji0&q=*&authuser=0&hl=en&gl=US,,,reviews,"med spa, Connecticut, USA",multiple_contacts_same_business,review_before_live
Infinite MedSpa,infinitemedspa@gmail.com,,https://infinitemedspact.com/,"50 Progress Cir STE 6A, Newington, CT 06111",Newington,Connecticut,Spa,4.6,82,,https://search.google.com/local/reviews?placeid=ChIJcak6_bqz54kRcb0j4Pz3N7I&q=*&authuser=0&hl=en&gl=US,,,reviews,"med spa, Connecticut, USA",personal_email_domain,review_before_live
Magnolia Med Spa,amanda@magnoliamedspact.com,+1 860-798-4600,https://www.magnoliamedspact.com/,"4 Forest Park Dr Suite 4-1-LB, Farmington, CT 06032",Farmington,Connecticut,Medical spa,4.9,51,,https://search.google.com/local/reviews?placeid=ChIJEd5vTQqv54kRVytl0OKvF3Y&q=*&authuser=0&hl=en&gl=US,,,reviews,"med spa, Connecticut, USA",,ok
Mia's Medical Spa,miasmedicalspa@gmail.com,+1 860-384-8393,https://www.ivdripandmedicalspa.com/,"45 S Main St # 105, West Hartford, CT 06107",West Hartford,Connecticut,Medical spa,4.7,124,,https://search.google.com/local/reviews?placeid=ChIJqwQ7n2ut54kRBlC1Y2v9GmM&q=*&authuser=0&hl=en&gl=US,,,reviews,"med spa, Connecticut, USA",personal_email_domain,review_before_live
Vanity Medical Spa,wweeiihhuuaanngg@gmail.com,+1 203-551-1897,http://vanityisavirtue.com/,"515 Bridgeport Ave, Shelton, CT 06484",Shelton,Connecticut,Medical spa,4.9,118,,https://search.google.com/local/reviews?placeid=ChIJ9eYszMML6IkR8XsByrR4TZ4&q=*&authuser=0&hl=en&gl=US,,,reviews,"med spa, Connecticut, USA",personal_email_domain,review_before_live
